"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,23451.46,,
"CZE","Czech Republic","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,293.675,,
"CZE","Czech Republic","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,294.875,,
"CZE","Czech Republic","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,291.225,"B","Break"
"CZE","Czech Republic","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,285.675,,
"CZE","Czech Republic","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,276.025,,
"CZE","Czech Republic","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,272.2,,
"CZE","Czech Republic","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,263.875,,
"CZE","Czech Republic","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,267.4,,
"CZE","Czech Republic","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,287.325,,
"CZE","Czech Republic","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,298.825,,
"CZE","Czech Republic","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,296.375,,
"CZE","Czech Republic","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,322.975,,
"CZE","Czech Republic","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2020","2020","PER","Persons","3","Thousands",,,294.775,,
"ITA","Italy","YW994IL1_ST","Employees in Industry (ISIC rev4, B-F)","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,5480.425,,
"ITA","Italy","YW994IL1_ST","Employees in Industry (ISIC rev4, B-F)","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,5290.1,,
"ITA","Italy","YW994IL1_ST","Employees in Industry (ISIC rev4, B-F)","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,5110.775,,
"ITA","Italy","YW994IL1_ST","Employees in Industry (ISIC rev4, B-F)","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,5102.8,,
"ITA","Italy","YW994IL1_ST","Employees in Industry (ISIC rev4, B-F)","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,4986.1,,
"ITA","Italy","YW994IL1_ST","Employees in Industry (ISIC rev4, B-F)","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,4820.425,,
"ITA","Italy","YW994IL1_ST","Employees in Industry (ISIC rev4, B-F)","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,4817.55,,
"ITA","Italy","YW994IL1_ST","Employees in Industry (ISIC rev4, B-F)","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,4836.925,,
"ITA","Italy","YW994IL1_ST","Employees in Industry (ISIC rev4, B-F)","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,4862.25,,
"ITA","Italy","YW994IL1_ST","Employees in Industry (ISIC rev4, B-F)","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,4920.85,,
"ITA","Italy","YW994IL1_ST","Employees in Industry (ISIC rev4, B-F)","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,5022.775,,
"ITA","Italy","YW994IL1_ST","Employees in Industry (ISIC rev4, B-F)","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,5057.3,,
"ITA","Italy","YW994IL1_ST","Employees in Industry (ISIC rev4, B-F)","TT","All persons","A","Annual","2020","2020","PER","Persons","3","Thousands",,,5055.075,,
"FIN","Finland","YW994TL1_ST","Employees in all activities (ISIC rev.4, A-U) , Employees ","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,2206.775,,
"FIN","Finland","YW994TL1_ST","Employees in all activities (ISIC rev.4, A-U) , Employees ","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,2122.725,,
"FIN","Finland","YW994TL1_ST","Employees in all activities (ISIC rev.4, A-U) , Employees ","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,2119.6,,
"FIN","Finland","YW994TL1_ST","Employees in all activities (ISIC rev.4, A-U) , Employees ","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,2143,,
"FIN","Finland","YW994TL1_ST","Employees in all activities (ISIC rev.4, A-U) , Employees ","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,2146.1,,
"FIN","Finland","YW994TL1_ST","Employees in all activities (ISIC rev.4, A-U) , Employees ","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,2126.575,,
"FIN","Finland","YW994TL1_ST","Employees in all activities (ISIC rev.4, A-U) , Employees ","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,2104.625,,
"FIN","Finland","YW994TL1_ST","Employees in all activities (ISIC rev.4, A-U) , Employees ","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,2090.35,,
"FIN","Finland","YW994TL1_ST","Employees in all activities (ISIC rev.4, A-U) , Employees ","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,2104.575,,
"FIN","Finland","YW994TL1_ST","Employees in all activities (ISIC rev.4, A-U) , Employees ","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,2147.25,,
"FIN","Finland","YW994TL1_ST","Employees in all activities (ISIC rev.4, A-U) , Employees ","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,2204.35,,
"FIN","Finland","YW994TL1_ST","Employees in all activities (ISIC rev.4, A-U) , Employees ","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,2220.25,,
"FIN","Finland","YW994TL1_ST","Employees in all activities (ISIC rev.4, A-U) , Employees ","TT","All persons","A","Annual","2020","2020","PER","Persons","3","Thousands",,,2188.575,,
"SVN","Slovenia","YW994AL1_ST","Employees in Agriculture,hunting and forestry (ISIC rev4, A)","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,12.85,,
"SVN","Slovenia","YW994AL1_ST","Employees in Agriculture,hunting and forestry (ISIC rev4, A)","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,10.475,"U","Low reliability"
"SVN","Slovenia","YW994AL1_ST","Employees in Agriculture,hunting and forestry (ISIC rev4, A)","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,9.4,"U","Low reliability"
"SVN","Slovenia","YW994AL1_ST","Employees in Agriculture,hunting and forestry (ISIC rev4, A)","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,9.85,"U","Low reliability"
"SVN","Slovenia","YW994AL1_ST","Employees in Agriculture,hunting and forestry (ISIC rev4, A)","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,9.975,"U","Low reliability"
"SVN","Slovenia","YW994AL1_ST","Employees in Agriculture,hunting and forestry (ISIC rev4, A)","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,8.75,"U","Low reliability"
"SVN","Slovenia","YW994AL1_ST","Employees in Agriculture,hunting and forestry (ISIC rev4, A)","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,8.725,"U","Low reliability"
"SVN","Slovenia","YW994AL1_ST","Employees in Agriculture,hunting and forestry (ISIC rev4, A)","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,8.7,"U","Low reliability"
"SVN","Slovenia","YW994AL1_ST","Employees in Agriculture,hunting and forestry (ISIC rev4, A)","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,7.75,"U","Low reliability"
"SVN","Slovenia","YW994AL1_ST","Employees in Agriculture,hunting and forestry (ISIC rev4, A)","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,9.1,"U","Low reliability"
"SVN","Slovenia","YW994AL1_ST","Employees in Agriculture,hunting and forestry (ISIC rev4, A)","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,8.175,"U","Low reliability"
"SVN","Slovenia","YW994AL1_ST","Employees in Agriculture,hunting and forestry (ISIC rev4, A)","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,7.425,"U","Low reliability"
"SVN","Slovenia","YW994AL1_ST","Employees in Agriculture,hunting and forestry (ISIC rev4, A)","TT","All persons","A","Annual","2020","2020","PER","Persons","3","Thousands",,,7.375,"U","Low reliability"
"LUX","Luxembourg","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,11.25,"B","Break"
"LUX","Luxembourg","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,10,,
"LUX","Luxembourg","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,9.125,,
"LUX","Luxembourg","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,8.75,,
"LUX","Luxembourg","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,8.85,,
"LUX","Luxembourg","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,9.9,,
"LUX","Luxembourg","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,9.5,"B","Break"
"LUX","Luxembourg","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,9.825,,
"LUX","Luxembourg","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,10.225,,
"LUX","Luxembourg","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,9.325,,
"LUX","Luxembourg","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,10.55,,
"LUX","Luxembourg","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,11.45,,
"LUX","Luxembourg","YW99H4L1_ST","Transportation and storage (H)","TT","All persons","A","Annual","2020","2020","PER","Persons","3","Thousands",,,12.25,,
"JPN","Japan","YW99X4L1_ST","Arts, entertainment and recreation ( R)","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,720,,
"JPN","Japan","YW99X4L1_ST","Arts, entertainment and recreation ( R)","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,730,,
"JPN","Japan","YW99X4L1_ST","Arts, entertainment and recreation ( R)","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,740,,
"JPN","Japan","YW99X4L1_ST","Arts, entertainment and recreation ( R)","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,710,,
"JPN","Japan","YW99X4L1_ST","Arts, entertainment and recreation ( R)","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,720,,
"JPN","Japan","YW99X4L1_ST","Arts, entertainment and recreation ( R)","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,730,,
"JPN","Japan","YW99X4L1_ST","Arts, entertainment and recreation ( R)","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,690,,
"JPN","Japan","YW99X4L1_ST","Arts, entertainment and recreation ( R)","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,670,,
"JPN","Japan","YW99X4L1_ST","Arts, entertainment and recreation ( R)","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,700,,
"JPN","Japan","YW99X4L1_ST","Arts, entertainment and recreation ( R)","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,740,,
"JPN","Japan","YW99X4L1_ST","Arts, entertainment and recreation ( R)","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,750,,
"JPN","Japan","YW99X4L1_ST","Arts, entertainment and recreation ( R)","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,780,,
"JPN","Japan","YW99X4L1_ST","Arts, entertainment and recreation ( R)","TT","All persons","A","Annual","2020","2020","PER","Persons","3","Thousands",,,750,,
"HUN","Hungary","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,2132.125,,
"HUN","Hungary","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,2098.775,,
"HUN","Hungary","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,2116.1,,
"HUN","Hungary","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,2112.475,,
"HUN","Hungary","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,2195.375,,
"HUN","Hungary","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,2255.35,,
"HUN","Hungary","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,2356.325,,
"HUN","Hungary","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,2428.825,,
"HUN","Hungary","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,2509.65,,
"HUN","Hungary","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,2521.025,,
"HUN","Hungary","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,2513.8,,
"HUN","Hungary","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,2537.675,,
"HUN","Hungary","YW994SL1_ST","Employees in Services (ISIC rev.4, G-U)","TT","All persons","A","Annual","2020","2020","PER","Persons","3","Thousands",,,2474.275,,
"KOR","Korea","YW99J4L1_ST","Information and communication (J)","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,583.6,,
"KOR","Korea","YW99J4L1_ST","Information and communication (J)","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,612.9,,
"KOR","Korea","YW99J4L1_ST","Information and communication (J)","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,609.7,,
"KOR","Korea","YW99J4L1_ST","Information and communication (J)","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,638.3,,
"KOR","Korea","YW99J4L1_ST","Information and communication (J)","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,648.6,,
"KOR","Korea","YW99J4L1_ST","Information and communication (J)","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,643,,
"KOR","Korea","YW99J4L1_ST","Information and communication (J)","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,651,,
"KOR","Korea","YW99J4L1_ST","Information and communication (J)","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,704,,
"KOR","Korea","YW99J4L1_ST","Information and communication (J)","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,705,,
"KOR","Korea","YW99J4L1_ST","Information and communication (J)","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,708,,
"KOR","Korea","YW99J4L1_ST","Information and communication (J)","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,760,,
"KOR","Korea","YW99J4L1_ST","Information and communication (J)","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,789,,
"KOR","Korea","YW99J4L1_ST","Information and communication (J)","TT","All persons","A","Annual","2020","2020","PER","Persons","3","Thousands",,,772,,
"GBR","United Kingdom","YW99O4L1_ST","Public administration and defence, Compulsory social security (O)","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,1998.579,,
"GBR","United Kingdom","YW99O4L1_ST","Public administration and defence, Compulsory social security (O)","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,1943.754,,
"GBR","United Kingdom","YW99O4L1_ST","Public administration and defence, Compulsory social security (O)","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,1881.839,,
"GBR","United Kingdom","YW99O4L1_ST","Public administration and defence, Compulsory social security (O)","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,1828.423,,
"GBR","United Kingdom","YW99O4L1_ST","Public administration and defence, Compulsory social security (O)","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,1790.951,,
"GBR","United Kingdom","YW99O4L1_ST","Public administration and defence, Compulsory social security (O)","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,1816.313,,
"GBR","United Kingdom","YW99O4L1_ST","Public administration and defence, Compulsory social security (O)","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,1789.45,,
"GBR","United Kingdom","YW99O4L1_ST","Public administration and defence, Compulsory social security (O)","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,1806.844,,
"GBR","United Kingdom","YW99O4L1_ST","Public administration and defence, Compulsory social security (O)","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,1858.03,,
"GBR","United Kingdom","YW99O4L1_ST","Public administration and defence, Compulsory social security (O)","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,1926.04,,
"GBR","United Kingdom","YW99O4L1_ST","Public administration and defence, Compulsory social security (O)","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,2054.09,,
"GBR","United Kingdom","YW99O4L1_ST","Public administration and defence, Compulsory social security (O)","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,2053.792,,
"GBR","United Kingdom","YW99O4L1_ST","Public administration and defence, Compulsory social security (O)","TT","All persons","A","Annual","2020","2020","PER","Persons","3","Thousands",,,2225.503,,
"FIN","Finland","YW99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,14.5,,
"FIN","Finland","YW99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,15.85,,
"FIN","Finland","YW99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,14.875,,
"FIN","Finland","YW99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,14.375,,
"FIN","Finland","YW99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,14.275,,
"FIN","Finland","YW99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,13.875,,
