"COU","Country","ALL_IN","All in average income tax rates at average wage","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2011","2011","PC","Percentage","0","Units",,,29.374247,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2012","2012","PC","Percentage","0","Units",,,29.37745,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2013","2013","PC","Percentage","0","Units",,,30.138411,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2014","2014","PC","Percentage","0","Units",,,30.588748,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2015","2015","PC","Percentage","0","Units",,,30.544955,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2016","2016","PC","Percentage","0","Units",,,30.487293,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2017","2017","PC","Percentage","0","Units",,,29.96333,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2018","2018","PC","Percentage","0","Units",,,30.347114,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2019","2019","PC","Percentage","0","Units",,,30.214845,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2020","2020","PC","Percentage","0","Units",,,30.160165,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2021","2021","PC","Percentage","0","Units",,,30.803203,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2000","2000","PC","Percentage","0","Units",,,26.104847,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2001","2001","PC","Percentage","0","Units",,,27.253278,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2002","2002","PC","Percentage","0","Units",,,27.037876,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2003","2003","PC","Percentage","0","Units",,,23.365123,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2004","2004","PC","Percentage","0","Units",,,22.082209,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2005","2005","PC","Percentage","0","Units",,,21.250566,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2006","2006","PC","Percentage","0","Units",,,20.282361,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2007","2007","PC","Percentage","0","Units",,,21.218045,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2008","2008","PC","Percentage","0","Units",,,19.275519,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2009","2009","PC","Percentage","0","Units",,,17.705085,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2010","2010","PC","Percentage","0","Units",,,17.005922,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2011","2011","PC","Percentage","0","Units",,,17.047701,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2012","2012","PC","Percentage","0","Units",,,16.637013,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2013","2013","PC","Percentage","0","Units",,,16.373951,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2014","2014","PC","Percentage","0","Units",,,17.006546,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2015","2015","PC","Percentage","0","Units",,,17.510821,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2016","2016","PC","Percentage","0","Units",,,17.943344,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2017","2017","PC","Percentage","0","Units",,,17.714714,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2018","2018","PC","Percentage","0","Units",,,18.305346,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2019","2019","PC","Percentage","0","Units",,,18.512855,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2020","2020","PC","Percentage","0","Units",,,18.029505,,
"ISR","Israel","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2021","2021","PC","Percentage","0","Units",,,19.713398,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2000","2000","PC","Percentage","0","Units",,,15.792499,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2001","2001","PC","Percentage","0","Units",,,15.858684,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2002","2002","PC","Percentage","0","Units",,,16.042281,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2003","2003","PC","Percentage","0","Units",,,14.173408,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2004","2004","PC","Percentage","0","Units",,,13.878187,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2005","2005","PC","Percentage","0","Units",,,14.168886,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2006","2006","PC","Percentage","0","Units",,,13.627414,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2007","2007","PC","Percentage","0","Units",,,13.948699,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2008","2008","PC","Percentage","0","Units",,,14.041567,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2009","2009","PC","Percentage","0","Units",,,13.753061,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2010","2010","PC","Percentage","0","Units",,,11.3287,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2011","2011","PC","Percentage","0","Units",,,12.184458,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2012","2012","PC","Percentage","0","Units",,,14.986541,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2013","2013","PC","Percentage","0","Units",,,15.082162,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2014","2014","PC","Percentage","0","Units",,,15.572658,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2015","2015","PC","Percentage","0","Units",,,15.973905,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2016","2016","PC","Percentage","0","Units",,,16.15876,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2017","2017","PC","Percentage","0","Units",,,16.203836,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2018","2018","PC","Percentage","0","Units",,,16.370878,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2019","2019","PC","Percentage","0","Units",,,16.402922,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2020","2020","PC","Percentage","0","Units",,,16.323365,,
"JPN","Japan","ALL_IN_LESS_CASH_MAR_TWO_CH","Two children","2021","2021","PC","Percentage","0","Units",,,16.238721,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2000","2000","PC","Percentage","0","Units",,,5.247326,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2001","2001","PC","Percentage","0","Units",,,6.57558,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2002","2002","PC","Percentage","0","Units",,,2.307187,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2003","2003","PC","Percentage","0","Units",,,3.468584,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2004","2004","PC","Percentage","0","Units",,,4.208894,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2005","2005","PC","Percentage","0","Units",,,5.603259,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2006","2006","PC","Percentage","0","Units",,,6.634218,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2007","2007","PC","Percentage","0","Units",,,8.518874,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2008","2008","PC","Percentage","0","Units",,,8.791437,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2009","2009","PC","Percentage","0","Units",,,6.299044,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2010","2010","PC","Percentage","0","Units",,,7.311635,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2011","2011","PC","Percentage","0","Units",,,9.569328,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2012","2012","PC","Percentage","0","Units",,,9.755115,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2013","2013","PC","Percentage","0","Units",,,12.476397,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2014","2014","PC","Percentage","0","Units",,,13.782906,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2015","2015","PC","Percentage","0","Units",,,15.212896,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2016","2016","PC","Percentage","0","Units",,,15.743692,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2017","2017","PC","Percentage","0","Units",,,16.328489,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2018","2018","PC","Percentage","0","Units",,,11.893914,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2019","2019","PC","Percentage","0","Units",,,12.377844,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2020","2020","PC","Percentage","0","Units",,,11.114589,,
"LUX","Luxembourg","ALL_IN_LESS_CASH_SING_TWO_CH","Two children","2021","2021","PC","Percentage","0","Units",,,14.796965,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2000","2000","PC","Percentage","0","Units",,,17.894795,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2001","2001","PC","Percentage","0","Units",,,18.806647,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2002","2002","PC","Percentage","0","Units",,,17.324676,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2003","2003","PC","Percentage","0","Units",,,17.576268,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2004","2004","PC","Percentage","0","Units",,,16.778323,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2005","2005","PC","Percentage","0","Units",,,16.826287,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2006","2006","PC","Percentage","0","Units",,,16.936182,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2007","2007","PC","Percentage","0","Units",,,17.369539,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2008","2008","PC","Percentage","0","Units",,,18.085155,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2009","2009","PC","Percentage","0","Units",,,16.506928,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2010","2010","PC","Percentage","0","Units",,,16.873925,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2011","2011","PC","Percentage","0","Units",,,18.147428,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2012","2012","PC","Percentage","0","Units",,,18.09535,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2013","2013","PC","Percentage","0","Units",,,18.020807,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2014","2014","PC","Percentage","0","Units",,,18.332058,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2015","2015","PC","Percentage","0","Units",,,18.595912,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2016","2016","PC","Percentage","0","Units",,,18.918949,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2017","2017","PC","Percentage","0","Units",,,19.326033,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2018","2018","PC","Percentage","0","Units",,,19.857115,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2019","2019","PC","Percentage","0","Units",,,20.121692,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2020","2020","PC","Percentage","0","Units",,,19.369562,,
"SVK","Slovak Republic","ALL_IN_RATE_SING_TWO_CH","Two children","2021","2021","PC","Percentage","0","Units",,,18.418952,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2000","2000","PC","Percentage","0","Units",,,19.968215,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2001","2001","PC","Percentage","0","Units",,,16.327479,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2002","2002","PC","Percentage","0","Units",,,14.629676,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2003","2003","PC","Percentage","0","Units",,,16.057438,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2004","2004","PC","Percentage","0","Units",,,17.023045,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2005","2005","PC","Percentage","0","Units",,,16.363944,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2006","2006","PC","Percentage","0","Units",,,15.119494,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2007","2007","PC","Percentage","0","Units",,,14.00212,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2008","2008","PC","Percentage","0","Units",,,14.210987,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2009","2009","PC","Percentage","0","Units",,,15.876364,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2010","2010","PC","Percentage","0","Units",,,17.084007,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2011","2011","PC","Percentage","0","Units",,,19.346168,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2012","2012","PC","Percentage","0","Units",,,19.958187,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2013","2013","PC","Percentage","0","Units",,,20.965293,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2014","2014","PC","Percentage","0","Units",,,21.198009,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2015","2015","PC","Percentage","0","Units",,,20.438561,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2016","2016","PC","Percentage","0","Units",,,19.940425,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2017","2017","PC","Percentage","0","Units",,,19.94862,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2018","2018","PC","Percentage","0","Units",,,20.433495,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2019","2019","PC","Percentage","0","Units",,,20.818146,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2020","2020","PC","Percentage","0","Units",,,19.577941,,
"IRL","Ireland","ALL_IN_RATE_SING_TWO_CH","Two children","2021","2021","PC","Percentage","0","Units",,,21.824582,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2000","2000","PC","Percentage","0","Units",,,41.454608,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2001","2001","PC","Percentage","0","Units",,,40.637426,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2002","2002","PC","Percentage","0","Units",,,39.966891,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2003","2003","PC","Percentage","0","Units",,,39.957662,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2004","2004","PC","Percentage","0","Units",,,38.60587,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2005","2005","PC","Percentage","0","Units",,,38.48639,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2006","2006","PC","Percentage","0","Units",,,38.58812,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2007","2007","PC","Percentage","0","Units",,,38.765757,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2008","2008","PC","Percentage","0","Units",,,38.584203,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2009","2009","PC","Percentage","0","Units",,,37.188637,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2010","2010","PC","Percentage","0","Units",,,36.285269,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2011","2011","PC","Percentage","0","Units",,,36.418995,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2012","2012","PC","Percentage","0","Units",,,36.487655,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2013","2013","PC","Percentage","0","Units",,,36.12487,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2014","2014","PC","Percentage","0","Units",,,35.959236,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2015","2015","PC","Percentage","0","Units",,,36.129014,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2016","2016","PC","Percentage","0","Units",,,36.10596,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2017","2017","PC","Percentage","0","Units",,,36.034033,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2018","2018","PC","Percentage","0","Units",,,35.551384,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2019","2019","PC","Percentage","0","Units",,,35.604893,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2020","2020","PC","Percentage","0","Units",,,35.349698,,
"DNK","Denmark","ALL_IN_RATE_SING_NO_CH","No child","2021","2021","PC","Percentage","0","Units",,,35.547339,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2000","2000","PC","Percentage","0","Units",,,28.734191,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2001","2001","PC","Percentage","0","Units",,,30.915942,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2002","2002","PC","Percentage","0","Units",,,30.119256,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2003","2003","PC","Percentage","0","Units",,,29.766749,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2004","2004","PC","Percentage","0","Units",,,30.450849,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2005","2005","PC","Percentage","0","Units",,,30.503031,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2006","2006","PC","Percentage","0","Units",,,30.362864,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2007","2007","PC","Percentage","0","Units",,,29.796471,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2008","2008","PC","Percentage","0","Units",,,25.578797,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2009","2009","PC","Percentage","0","Units",,,25.570708,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2010","2010","PC","Percentage","0","Units",,,25.85139,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2011","2011","PC","Percentage","0","Units",,,25.910355,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2012","2012","PC","Percentage","0","Units",,,26.027223,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2013","2013","PC","Percentage","0","Units",,,26.307318,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2014","2014","PC","Percentage","0","Units",,,26.549956,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2015","2015","PC","Percentage","0","Units",,,26.67513,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2016","2016","PC","Percentage","0","Units",,,26.639615,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2017","2017","PC","Percentage","0","Units",,,27.431983,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2018","2018","PC","Percentage","0","Units",,,27.870018,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2019","2019","PC","Percentage","0","Units",,,28.257928,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2020","2020","PC","Percentage","0","Units",,,28.396844,,
"TUR","Türkiye","ALL_IN_LESS_CASH_MAR_NO_CH","No child","2021","2021","PC","Percentage","0","Units",,,28.645886,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2000","2000","PC","Percentage","0","Units",,,16.489767,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2001","2001","PC","Percentage","0","Units",,,16.42318,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2002","2002","PC","Percentage","0","Units",,,17.064061,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2003","2003","PC","Percentage","0","Units",,,17.457073,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2004","2004","PC","Percentage","0","Units",,,17.67015,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2005","2005","PC","Percentage","0","Units",,,13.449698,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2006","2006","PC","Percentage","0","Units",,,9.899563,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2007","2007","PC","Percentage","0","Units",,,10.794663,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2008","2008","PC","Percentage","0","Units",,,6.694713,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2009","2009","PC","Percentage","0","Units",,,5.898412,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2010","2010","PC","Percentage","0","Units",,,5.731769,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2011","2011","PC","Percentage","0","Units",,,6.821451,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2012","2012","PC","Percentage","0","Units",,,5.814711,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2013","2013","PC","Percentage","0","Units",,,5.761773,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2014","2014","PC","Percentage","0","Units",,,6.4757,,
"CZE","Czech Republic","ALL_IN_RATE_MAR_TWO_CH","Two children","2015","2015","PC","Percentage","0","Units",,,6.495479,,
